	Description	Category
962	оплата по счёту № 0966 от 06.10.2028г за транспортные услугиСумма 850000-00В т.ч. НДС(20%) 141666-66	SERVICE
963	За оказание услуг по договору №52-03652Д от 07.11.2023г.	SERVICE
964	НДС от коимссии за выполнение функций агента валютного контроля по операциям в рамках контракта	SERVICE
965	За тур.поездку по договору №8-00935/03 от 24/03/2027г.	SERVICE
966	За медицинское обслуживание по договору №А01666/59 от 29.06.2024	SERVICE
967	Оплата по сч. 496 от 10.11.2026 г., за транспортные услуги НДС не облагается.	SERVICE
968	оплата по счетам 0412, 0611,0832, 0438 за услугиСумма 01.06.2028г.В т.ч. НДС(20%) 3270000,00 (перевозка грузов)	SERVICE
969	Оплата за консультирование в сфере информационных технологий по договору 08.045503-АБ от 09.06.2028	SERVICE
970	Оплата по Договору №Б01963 от 30 июня 2028гза бухгалтерское сопровождение в счет задолженности	SERVICE
971	Оплата по сч. 140 от 20.06.2025г, за транспортные услуги НДС не облагается.	SERVICE
972	Оплата за Размещение рекламы по счету 78978447012331447435 от 18.02.2025г.; Договор №Д-02261/37 от 27 февраля 2025	SERVICE
973	оплата по договору №4-04337/22 от 03 июня 2024 г. за ЖКТМСумма 850000.00В т.ч. НДС(20%) 141666.66	SERVICE
974	Оплата за ж/д, авиабилеты и проживание по счету 91825742585963038442 от 19.12.2027 г. на основании договора №43-00581А от 06 ноября 2026 г.	SERVICE
975	За тур.поездку по договору №32Е-02287 от 08 апреля 2028г	SERVICE
976	оплата по счетам 0964, 0906,0873, 0830 за услугиСумма 12 июля 2027гВ т.ч. НДС(20%) 19500-00	SERVICE
977	оплата по счёту № 0889 от 06 ноября 2028 за транспортные услугиСумма 2980000-00В т.ч. НДС(20%) 496666-66	SERVICE
978	За юридические услуги по договору №108 от 01.05.2023 г.	SERVICE
979	За участие в конференции в г. Саратов по договору №407 от 2026-09-26	SERVICE
980	Оплата за ж/д, авиабилеты и проживание по счету 95617244645918006883 от 27.05.2025г на основании договора №63В-02920 от 13.09.2027г.	SERVICE
981	За аренду машины/автомобиля по договору №96-04024В от 31 января 2024 г.	SERVICE
982	За участие в конференции в г. Череповец по договору №243 от 17.05.2023г.	SERVICE
983	Лечение по договору №Г-00451/05 от 2023.11.16	SERVICE
984	Оплата за ж/д, авиабилеты и проживание по счету 47243571786868426195 от 04.08.2028г. на основании договора №Д01175 от 22.12.2026г.	SERVICE
985	Оплата по сч. 579 от 29.12.2023г., за транспортные услуги НДС не облагается.	SERVICE
986	оплата по счетам 0140, 0897,0564, 0989 за услугиСумма 02.08.2025 г.В т.ч. НДС(20%) 4290000,00 (перевозка грузов)	SERVICE
987	За покупку авиабилетов г. Серпухов - г. Уссурийск по договору №Б-02927/17 от 21.07.2025г	SERVICE
988	"Оплата основного долга за период с 13 августа 2023г по 22.05.2024г. по Договору №Е00380/45 от 09.10.2028 с ОАО ""Второй банк"""	SERVICE
989	За аренду машины/автомобиля по договору №30В-00852 от 09.12.2023	SERVICE
990	Оплата по договору процентного займа №А-01963/07 от 24.10.2024г.. Без НДС	SERVICE
991	Оплата по Договору 24.053852-ДЕ от 01.10.2023 г. за акт 0647 транспортные услуги Сумма 33000-00Без налога(НДС)	SERVICE
992	оплата по счетам 0897, 0035,0919, 0653 за услугиСумма 04.01.2026г.В т.ч. НДС(20%) 650000-00 (перевозка грузов)	SERVICE
993	Лечение по договору 59.297411-ББ от 27.12.2025г	SERVICE
994	Оплата за консультирование в сфере информационных технологий по договору №Б01401/33 от 16 декабря 2028г	SERVICE
995	Оплата по Договору 04.456813-ДД от 14.04.2026 г. за акт 0395 транспортные услуги Сумма 35700.00Без налога(НДС)	SERVICE
996	За аренду машины/автомобиля по договору №5-01885/77 от 10.06.2024г	SERVICE
997	За тур.поездку по договору №Д-02174/08 от 01.11.2026 г.	SERVICE
998	За транспортировку, перевозка по железной доргое из г. Абакан в г. Ковров по договору №Б01860/23 от 04 сентября 2023 г.	SERVICE
999	Предоставление денежных средств по договору займа №07-04346 от 05/08/2024г.. Без НДС	SERVICE
1000	Оплата по Счету 0238 от 14.01.2027г. за возмещаемые расходы Сумма 38600,00 в том числе НДС(20%) 6433,33	SERVICE
1001	За транспортировку, перевозка водным транспортом из г. Хабаровск в г. Новомосковск по договору №12-01480 от 01.07.2023г.	SERVICE
1002	Оплата по Договору №Д03442 от 11.05.2026 г. за акт 0127 транспортные услуги Сумма 17300.00Без налога(НДС)	SERVICE
1003	Оплата за ж/д, авиабилеты и проживание по счету 43053784402403116333 от 02 января 2026 на основании договора №5-01610/55 от 27/10/2023	SERVICE
1004	Лечение по договору №72-03670 от 30.07.2028г	SERVICE
1005	За доставку водным транспортом из г. Рязань в г. Раменское по договору №Е04739/97 от 09 авугста 2028г	SERVICE
1006	За медицинское обслуживание по договору №31-02552Е от 30.12.2024	SERVICE
1007	За тур.поездку по договору №80-01572 от 05 июня 2027г	SERVICE
1008	По предвариельному договору №01693Д от 01.10.2027 за квартиру в ЖК по адресу г. Октябрьский, Комсомольская ул., д. 15	SERVICE
1009	Оплата за Губки для мытья посуды Econta Maxi 5шт по счету 29109917533239187213 от 30.04.2023г. Сумма 1730,00	SERVICE
1010	Оплата по Договору №70-04890 от 26 августа 2026гза бухгалтерское сопровождение в счет задолженности	SERVICE
1011	За консультации юриста по договору 04.179400-БВ от 2028-12-19	SERVICE
1012	Комиссия за организацию сделки по дог. лизинга №02494А. Сумма 27.11.2024, в т.ч. НДС 20% 1650.00	SERVICE
1013	Оплата по Договору №В03999/61 от 28.07.2025г. за акты 0632 и 0375 (транспортные услуги)Сумма 24900,00В т.ч. НДС(20%) 4150,0	SERVICE
1014	оплата по счетам 0040, 0409,0204, 0895 за услугиСумма 02 апреля 2026гВ т.ч. НДС(20%) 6300-00	SERVICE
1015	Оплата по сч. 0174 от 24.10.2028 г. за абхазсие мандарины. Сумма 19200.00 В т.ч. НДС 20% - 3200.0	SERVICE
1016	Оплата за ж/д, авиабилеты и проживание по счету 32243766164047760223 от 20/01/2026 на основании договора б/н от 29 июня 2026 г.	SERVICE
1017	Оплата по Договору №94-01831 от 05.12.2026г. за акт 0123 транспортные услуги Сумма 26100.00Без налога(НДС)	SERVICE
1018	Оплата по Договору №Г02264 от 05 ноября 2025за бухгалтерское сопровождение в счет задолженности	SERVICE
1019	За оказание услуг по договору №53Б-02746 от 23/08/2024	SERVICE
1020	За доставку грузовым транспортом из г. Ессентуки в г. Астрахань по договору 86.087652-ЕД от 15/03/2028	SERVICE
1021	За бронирование отеля в г. Камышин по договору №010 от 29.09.2026г	SERVICE
1022	Оплата за Чай Бабушкино лукошко детский травяной Ромашка 20x1г по счету 07956311984625541247 от 25/08/2025 Сумма 1790,00	SERVICE
1023	За информационные услуги по договору №Е00318/16 от 31.12.2026	SERVICE
1024	Оплата за ж/д, авиабилеты и проживание по счету 58057895471718824844 от 18.10.2023 на основании договора №4-00528/42 от 10.03.2024	SERVICE
1025	Оплата по договору №Е01889 от 02.10.2025г, счету 0483 от 02.10.2025г за мясные деликатесы. Сумма 14800-00 В т.ч. НДС 20% 2466-66	SERVICE
1026	За оказание услуг по договору 09.196257-ЕЕ от 25.10.2023 г.	SERVICE
1027	За участие в конференции в г. Электросталь по договору №14Г-04179 от 06 января 2026	SERVICE
1028	За покупку авиабилетов г. Димитровград - г. Новосибирск по договору №82-03772 от 07 ноября 2024 г.	SERVICE
1029	За консультации юриста по договору №24А-03868 от 2025.03.29	SERVICE
1030	Возврат денежных средств по договору займа №93-04882 от 15 сентября 2024. Без НДС	SERVICE
1031	Оплата по Договору 35.463298-ДВ от 2028.06.08 за акты 0634 и 0079 (транспортные услуги)Сумма 27800,00В т.ч. НДС(20%) 4633,33	SERVICE
1032	Оплата за Размещение рекламы по счету 72292856216702273265 от 13.06.2028г; Договор №027 от 18 октября 2028г	SERVICE
1033	Оплата по договору процентного займа №54Г-02093 от 24/03/2024г.. Без НДС	SERVICE
1034	За гостиницу (Россия, г. Липецк)	SERVICE
1035	Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №04563В	SERVICE
1036	оплата по счёту № 0277 от 26.10.2028г. за транспортные услугиСумма 4840000,00В т.ч. НДС(20%) 806666,66	SERVICE
1037	Оплата по Договору №А02933/80 от 05 августа 2028 г. за акт 0214 транспортные услуги Сумма 49000.00Без налога(НДС)	SERVICE
1038	Оплата по счету № 0001 от 22.01.2024г. за аренду помещения по договору субаренды №49-00807Д от 06.12.2023 г.	SERVICE
1039	Оплата за Средство для стирки Лоск Color 1.3л по счету 83562333373510829730 от 13.06.2024г. Сумма 1620.00	SERVICE
1040	За оказание услуг по договору №Г04608 от 2028.04.04	SERVICE
1041	За аренду машины/автомобиля по договору №00208Д от 09.12.2028г.	SERVICE
1042	За аренду машины/автомобиля по договору №Б03174 от 23.03.2026г	SERVICE
1043	За доставку по железной дороге из г. Железногорск в г. Раменское по договору №407 от 29 сентября 2023 г.	SERVICE
1044	Оплата по товарой накладной за 100 штук пачек кофе Lavaza по счету 0371 от 2023-10-23 .Сумма 43300.00 В т.ч. НДС 20% 7216.66	SERVICE
1045	оплата по счетам 0597, 0063,0569, 0199 за услугиСумма 05.02.2027гВ т.ч. НДС(20%) 3400000-00 (перевозка грузов)	SERVICE
1046	оплата по счёту № 0412 от 2026-09-29 за транспортные услугиСумма 2790000-00В т.ч. НДС(20%) 465000-00	SERVICE
1047	За строительные работы по адресу г. Стерлитамак, Новая ул., д. 2 по договору №00951А от 19.07.2026	SERVICE
1048	Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №7-01457/73	SERVICE
1049	За консультации юриста по договору №02983А от 04.05.2027г	SERVICE
1050	Оплата по сч. 758 от 2024.03.30, за транспортные услуги НДС не облагается.	SERVICE
1051	За строительные работы по адресу г. Северск, ЯнкиКупалы ул., д. 22 по договору №Б-02730/58 от 30 марта 2026г	SERVICE
1052	Оплата по договору №91-01308Г от 30.04.2023г. сырье для пвадСумма 4550000-00В т.ч. НДС(20%) 758333-33	SERVICE
1053	Счет на оплату № 0202 от 15.04.2028г.МКР для фильтрпресса. Сумма 17700,00В т.ч. НДС(20%) 2950,0	SERVICE
1054	Оплата по Договору 98.497206-ДА от 16.12.2023г.за бухгалтерсоке сопровождение в счет задолженности	SERVICE
1055	Оплата по Договору №Б-00783/61 от 11/12/2024 за акты 0415 и 0800 (транспортные услуги)Сумма 38800.00В т.ч. НДС(20%) 6466.66	SERVICE
1056	Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №В-02732/99	SERVICE
1057	Оплата за ж/д, авиабилеты и проживание по счету 87302351804625753320 от 29.03.2027 на основании договора №38В-02726 от 18.02.2024	SERVICE
1058	За строительные работы по адресу г. Подольск, Березовая ул., д. 4 по договору №А03898 от 03/04/2027г.	SERVICE
1059	За тур.поездку по договору б/н от 03.01.2024	SERVICE
1060	Оплата по счетам 0647,0648,0649 от 27 июля 2023г (за бетон марки М300)Сумма 10700,00 В т.ч. НДС 20% 1783,33	SERVICE
1061	За консультации юрсита по договору №Д00628 от 2024.11.18	SERVICE
1062	За бронирование отеля в г. Мурманск по договору №00269Е от 19.10.2026г.	SERVICE
1063	За тур.поездку по договору №6-00880/39 от 06.11.2028	SERVICE
1064	Оплата по акту сверки б/н от 17 ноября 2024 г. (в рамках договора лизинга №76-03814В от 09/09/2023г.). В т.ч. НДС(20%) 503333.33	SERVICE
1065	Оплата по Договору 57.035884-ВД от 17 января 2026 за акты 0671 и 0867 (транспортные услуги)Сумма 50000-00В т.ч. НДС(20%) 8333-33	SERVICE
1066	Оплата за ж/д, авиабилеты и проживание по счету 68871559514714118489 от 2027.02.01 на основании договора №Б00420/99 от 12 января 2028г	SERVICE
1067	Оплата по Договору №12Б-01169 от 13.03.2025 г. за акт 0872 транспортные услуги Сумма 5600,00Без налога(НДС)	SERVICE
1068	За покупку авиабилетов г. Ростов-на-Дону - г. Ачинск по договору №71Г-03296 от 13/08/2028г.	SERVICE
1069	оплата по счетам 0586, 0778,0191, 0876 за услугиСумма 05/03/2027В т.ч. НДС(20%) 3420000-00 (перевозка грузов)	SERVICE
1070	Лечение по договору б/н от 11.10.2024г	SERVICE
1071	Оплата за ж/д, авиабилеты и проживание по счету 70853212288394979799 от 14.04.2025г. на основании договора №Б04058 от 04.01.2024 г.	SERVICE
1072	Оплата за Набор Seasons карнавальный с крыльями в ассортименте по счету 11703942736479102377 от 04/07/2027 Сумма 3760,00	SERVICE
1073	Оплата за консультирование в сфере информационных технологий по договору 42.099353-БД от 06.12.2026 г.	SERVICE
1074	За оказание услуг по договору №91-04273Б от 14 декабря 2025 г.	SERVICE
1075	За гостиницу (Россия, г. Арзамас)	SERVICE
1076	Оплата по сч. 22 от 26.06.2027 г., за транспортные услуги НДС не облагается.	SERVICE
1077	За информационные услуги по договору №24Е-04015 от 27.12.2023г.	SERVICE
1078	Оплата за Скумбрия Fish House холодного копчения 300г по счету 14327803112416660573 от 28 ноября 2028 г. Сумма 3210,00	SERVICE
1079	Оплата за Уход за одеждой и обувью по счету 26614563012508538282 от 08.04.2024 г. Сумма 4390.00	SERVICE
1080	Оплата по счету 0514,0515,0516 от 04/01/2024г. (в рамках договора финансовой аренды №463 от 04.04.2023г.). В т.ч. НДС(20%) 506666.66	SERVICE
1081	За юридические услуги по договору №40Б-01227 от 07 ноября 2023	SERVICE
1082	Оплата по сч. 478 от 08.11.2024, за транспортные услуги НДС не облагается.	SERVICE
1083	За медицинское обслуживание по договору №Г-00466/03 от 04 июня 2028	SERVICE
1084	Оплата за Зелёный чай по счету 25097179844903002369 от 01 января 2026 Сумма 3030.00	SERVICE
1085	Оплата за консультирование в сфере информационных технологий по договору 17.113042-ЕД от 10.01.2025г	SERVICE
1086	Оплата за Зубная паста Aquafresh Total Care 3 освежающая мята 100мл по счету 16046277894671438730 от 19/05/2027 Сумма 1890.00	SERVICE
1087	оплата по счёту № 0662 от 2027.06.18 за транспортные услугиСумма 1130000,00В т.ч. НДС(20%) 188333,33	SERVICE
1088	За информационные услуги по договору б/н от 08.03.2024	SERVICE
1089	Оплата за Паштет Мясная Ферма печеночный со вкусом гусиного мяса 200г по счету 39602404333928991481 от 26 июня 2027г Сумма 570-00	SERVICE
1090	оплата по счёту № 0500 от 05/08/2023 за транспортные услугиСумма 4500000,00В т.ч. НДС(20%) 750000,0	SERVICE
1091	За гостиницу (Россия, г. Березники)	SERVICE
1092	Оплата за Лампа светодиодная Старт E27 10W теплый свет по счету 82320632679069099247 от 05.10.2025г. Сумма 1170-00	SERVICE
1093	оплата по счетам 0423, 0459,0700, 0735 за услугиСумма 24.05.2023 г.В т.ч. НДС(20%) 990000-00 (перевозка грузов)	SERVICE
1094	Оплата по счету 0013,0014,0015 от 27.06.2024 г. (в рамках договора финансовой аренды №1-01047/66 от 2024.02.24). В т.ч. НДС(20%) 350000,0	SERVICE
1095	оплата по счёту № 0375 от 11/01/2025г. за транспортные услугиСумма 2510000,00В т.ч. НДС(20%) 418333,33	SERVICE
1096	Оплата за 500 штук новогодних шоколадных подарков по счету 0470 от 22/07/2026г. .Сумма 41400,00 В т.ч. НДС 20% 6900,0	SERVICE
1097	За аренду машины/автомобиля по договору №А03872 от 11/06/2024г.	SERVICE
1098	Оплата по договору процентного займа (20%) №8-02036/46 от 31/10/2023г.. Без НДС	SERVICE
1099	Оплата за консультирование в сфере информационных технологий по договору №02-04880Г от 19.12.2028г.	SERVICE
1100	За оказание услуг по договору №297 от 09.11.2025	SERVICE
1101	За консультации юриста по договору №32-04958 от 2024-08-14	SERVICE
1102	За бронирование отеля в г. Пермь по договору №Б-00298/14 от 2027.06.28	SERVICE
1103	За участие в конференции в г. Копейск по договору №02055В от 03.10.2024 г.	SERVICE
1104	Предоплата за автозапчасти по счету 0079 от 07/01/2028 года; Договор №94В-03654 от 2023-11-17	SERVICE
1105	Оплата за Палочки ватные Pupi 200шт по счету 76802961611167736035 от 11.09.2026 г. Сумма 1280.00	SERVICE
1106	Оплата за ж/д, авиабилеты и проживание по счету 77766308495638967898 от 23 мая 2024 на основании договора №17Б-03923 от 17.12.2028	SERVICE
1107	За участие в конференции в г. Димитровград по договору №03902Г от 21.09.2028	SERVICE
1108	Оплата по Договору №90Б-00965 от 18 мая 2026гза бухгалтерское сопровождение в счет задолженности	SERVICE
1109	"Комиссия за открытие счета согласно Тарифам АКБ ""Первый банк"" (АО). НДС не облагается."	SERVICE
1110	Оплата по договору процентного займа №Г03175/14 от 26/01/2023г.. Без НДС	SERVICE
1111	Оплата за Мойва Fish house Холодного копчения неразделанная 200г по счету 33320490869652289715 от 05.10.2023г. Сумма 2480,00	SERVICE
1112	Оплата по Договору №180 от 15.11.2023 за акты 0133 и 0770 (транспортные услуги)Сумма 29100.00В т.ч. НДС(20%) 4850.0	SERVICE
1113	Оплата за консультирование в сфере информационных технологий по договору 11.179487-ЕВ от 15.03.2027	SERVICE
1114	За медицинское обслуживание по договору №04242Е от 19 декабря 2025 г.	SERVICE
1115	Оплата за нут,сафлор по счету 0249,0250,0251 от 10 июля 2025 .Сумма 2730000-00 В т.ч. НДС 20% 455000-00	SERVICE
1116	За участие в конференции в г. Новокуйбышевск по договору №А-00734/31 от 28.06.2025	SERVICE
1117	Оплата за Сумка Пятерочка хозяйственная из полиэстера по счету 09345722839475054370 от 2028.12.30 Сумма 690,00	SERVICE
1118	Оплата по сч. 955 от 18 мая 2028 г., за транспортные услуги НДС не облагается.	SERVICE
1119	Оплата за Рукав для запекания Econta, 3м по счету 03940177978895551231 от 06.04.2024г Сумма 3220-00	SERVICE
1120	Оплата по Счету 0309 от 03.06.2025 г. за возмещаемые расходы Сумма 48100-00 в том числе НДС(20%) 8016-66	SERVICE
1121	За аренду машины/автомобиля по договору №85-01335А от 18.12.2024	SERVICE
1122	За участие в конференции в г. Тверь по договору 57.323432-АД от 2027.05.13	SERVICE
1123	Оплата за Мед Медовый Край Разнотравье цветочный натуральный 500г по счету 34845641433345107570 от 11.06.2024 Сумма 1600.00	SERVICE
1124	Оплата за ж/д, авиабилеты и проживание по счету 74342713178607716186 от 21 февраля 2025г на основании договора 64.212251-ДВ от 15.08.2026г.	SERVICE
1125	За участие в конференции в г. Северодвинск по договору №76-02630 от 17.04.2028 г.	SERVICE
1126	За информационные услуги по договору №16-02717Б от 23.06.2027	SERVICE
1127	Оплата за консультирование в сфере информационных технологий по договору №19Д-01615 от 15.07.2026	SERVICE
1128	Оплата по Договору №2-02136/70 от 14.07.2024 г.за бухгалтерское сопровождение в счет задолженности	SERVICE
1129	Оплата по сч. 771 от 15.02.2023г, за транспортные услуги НДС не облагается.	SERVICE
1130	Оплата по Договору б/н от 08 июня 2024 за акт 0496 транспортные услуги Сумма 40900,00Без налога(НДС)	SERVICE
1131	Оплата аванса за ГСМ по счету А-0640 от 16.03.2024г. к Договору №Е-00432/61 от 23/08/2024. на сумму 2120000.00В т.ч. НДС(20%) 353333.33	SERVICE
1132	Оплата по Договору №74-04788 от 28/07/2025 за акты 0347 и 0684 (транспортные услуги)Сумма 35500.00В т.ч. НДС(20%) 5916.66	SERVICE
1133	За юридические услуги по договору №03223А от 20 июня 2025 г.	SERVICE
1134	оплата по счёту № 0477 от 20.02.2024 за транспортные услугиСумма 2640000-00В т.ч. НДС(20%) 440000-00	SERVICE
1135	оплата по счетам 0255, 0137,0947, 0283 за услугиСумма 24 октября 2027гВ т.ч. НДС(20%) 12400,00	SERVICE
1136	Предоставление денежных средств по договору займа №59-00342 от 09.06.2024г. Без НДС	SERVICE
1137	оплата по счёту № 0872 от 17.03.2024г. за транспортные услугиСумма 700000,00В т.ч. НДС(20%) 116666,66	SERVICE
1138	Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №7-00172/49	SERVICE
1139	За доставку автомобилем из г. Тольятти в г. Ногинск по договору №075 от 19/10/2025	SERVICE
1140	"Оплата ДКП №41-00382Е от 27 февраля 2023 г. за коттедж №11 в поселке ""Благовещенское"""	SERVICE
1141	Оплата за ж/д, авиабилеты и проживание по счету 24992340557352304366 от 20 марта 2027г на основании договора №03531Б от 04 ноября 2023г	SERVICE
1142	За тур.поездку по договору №99А-02880 от 24.09.2028	SERVICE
1143	За информационные услуги по договору №Г-03922/80 от 16.04.2023 г.	SERVICE
1144	Оплата по сч. 38 от 17 сентября 2025г, за транспортные услуги НДС не облагается.	SERVICE
1145	Оплата по сч. 3 от 24.04.2028 г., за транспортные услуги НДС не облагается.	SERVICE
1146	оплата по счетам 0942, 0536,0330, 0981 за услугиСумма 24.01.2027В т.ч. НДС(20%) 2160000-00 (перевозка грузов)	SERVICE
1147	За тур.поездку по договору №1-02547/44 от 09.10.2025г	SERVICE
1148	За покупку авиабилетов г. Чебоксары - г. Ессентуки по договору №333 от 2028-06-19	SERVICE
1149	За медицинское обслуживание по договору №В04807 от 13.03.2026г.	SERVICE
1150	Оплата по Договору №Г03775 от 26.01.2028г.за бухгалтерское сопровождение в счет задолженности	SERVICE
1151	За консультации юриста по договору №61-01147Г от 17.10.2025г	SERVICE
1152	За медицинское обслуживание по договору №265 от 16.01.2024	SERVICE
1153	За участие в конференции в г. Вологда по договору №Е02240/51 от 03 мая 2027 г.	SERVICE
1154	За медицинское обслуживание по договору №Д-03841/40 от 16 ноября 2024 г.	SERVICE
1155	За оказание услуг по договору №44Г-03162 от 25 июня 2026 г.	SERVICE
1156	За транспортировку, перевозка по железной дороге из г. Пушкино в г. Кисловодск по договору №9-00466/70 от 08 августа 2025г	SERVICE
1157	За медицинское обслуживание по договору №Г03974/43 от 13.07.2024 г.	SERVICE
1158	Оплата по дог.финансовой аренды №77В-03724 от 15.06.2024, акт приема-передачи 179 от 26/03/2024. В т.ч. НДС(20%) 273333-33	SERVICE
1159	Предоставление денежных средств по договору займа №88-03908 от 20.01.2024 г.. Без НДС	SERVICE
1160	Оплата за консультирование в сфере информационных технологий по договору №Е02735 от 04/07/2024г.	SERVICE
1161	За транспортировку, перевозка ж/д транспортом из г. Курган в г. Тамбов по договору №66-02024Б от 25 мая 2024г	SERVICE
1162	Оплата за ж/д, авиабилеты и проживание по счету 77222127655416376847 от 20 марта 2026г на основании договора №А04434 от 22/07/2028г.	SERVICE
1163	3й лизинговый платеж по договору №15Б-04113 от 25 мая 2024г. В т.ч. НДС(20%) 663333,33	SERVICE
1164	Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №80Б-00319	SERVICE
1165	Оплата за Порошок чистящий Пемолюкс лимон 480г по счету 90304573438911766866 от 2027.05.31 Сумма 4790-00	SERVICE
1166	Оплата по Договору №78-04980 от 2023.01.26за бухгалтерское сопровождение в счет задолженности	SERVICE
1167	Лечение по договору №35-01814А от 05.12.2028 г.	SERVICE
1168	За покупку авиабилетов г. Люберцы - г. Краснодар по договору №В04474/75 от 25.03.2023г.	SERVICE
1169	Оплата за ж/д, авиабилеты и проживание по счету 03457133033590642415 от 30 сентября 2023г на основании договора №086 от 26 августа 2028 г.	SERVICE
1170	Оплата дог №77-03341 от за 04/24г.согл.сч 0169 от 25.04.24г.,счет-фактура 0548 от 26.04.2024г.	SERVICE
1171	Оплата по Договору №39-01059Г от 24 июня 2023г за акты 0616 и 0070 (транспортные услуги)Сумма 18700-00В т.ч. НДС(20%) 3116-66	SERVICE
1172	За бронирование отеля в г. Артем по договору б/н от 10/05/2025	SERVICE
1173	Оплата по Договору 22.141206-АБ от 08 декабря 2024г за акты 0114 и 0350 (транспортные услуги)Сумма 46100-00В т.ч. НДС(20%) 7683-33	SERVICE
1174	Оплата за ж/д, авиабилеты и проживание по счету 34628491425308508175 от 14.01.2026г на основании договора №Д-00141/66 от 16 февраля 2027г	SERVICE
1175	"НДС от Комиссия АКБ ""Первый банк"" (АО) за выполнение функции агента валютного контроля за з/п № 955 от 2024-11-18"	SERVICE
1176	Оплата за ж/д, авиабилеты и проживание по счету 79835314111731618742 от 06/08/2023г. на основании договора №01510Е от 03/08/2026	SERVICE
1177	Оплата по Договору №5-00974/62 от 15/10/2027 за акты 0613 и 0444 (транспортные услуги)Сумма 16200-00В т.ч. НДС(20%) 2700-00	SERVICE
1178	оплата по счетам 0816, 0141,0455, 0015 за услугиСумма 29 августа 2026 г.В т.ч. НДС(20%) 2420000.00 (перевозка грузов)	SERVICE
1179	Оплата за ж/д, авиабилеты и проживание по счету 22704724578338395409 от 19.07.2023 г. на основании договора №64А-03869 от 05.10.2023г	SERVICE
1180	Оплата по Счету 0943 от 08.06.2025г за возмещаемые расходы Сумма 8300,00 в том числе НДС(20%) 1383,33	SERVICE
1181	Оплата за Бульон Роллтон Домашний куриный 90г по счету 52976190064643722588 от 10.10.2024г. Сумма 1330.00	SERVICE
1182	Оплата по Договору №73-03329Г от 2027.07.06за бухгалтерское сопровождение в счет задолженности	SERVICE
1183	Оплата по Договору №Е01984/79 от 17.03.2025 за акты 0098 и 0954 (транспортные услуги)Сумма 31300.00В т.ч. НДС(20%) 5216.66	SERVICE
1184	Лечение по договору №056 от 29 мая 2023г	SERVICE
1185	Оплата обучения по договору №3-02664/10 от 02 мая 2026 г.	SERVICE
1186	За оказание услуг по договору 82.309262-БЕ от 27.05.2027г.	SERVICE
1187	Оплата Дог №Г03969 от 01.10.2020 г., согл. Сч 0359-27 от 08.07.2024 оплата за сброс загрязняющих веществ	SERVICE
1188	Оплата Дог №Г04633/87 от 16 ноября 2022г, согл. Сч 0879-27 от 26 августа 2024г оплата за сброс загрязняющих веществ	SERVICE
1189	Оплата по договору процентного займа (20%) №5-01005/12 от 2023.07.30. Без НДС	SERVICE
1190	Лечение по договору №94-02534Г от 07.08.2026	SERVICE
1191	Оплата обучения по договору №Д-02748/81 от 2025.04.26	SERVICE
1192	Оплата по Счету 0873 от 27.03.2028г. за возмещаемые расходы Сумма 14700,00 в том числе НДС(20%) 2450,0	SERVICE
1193	За оказание услуг по договору №В-04569/55 от 17.09.2027г.	SERVICE
1194	Оплата обучения по договору №Г-01597/15 от 08 сентября 2027 г.	SERVICE
1195	За тур.поездку по договору №02774В от 14.11.2025г	SERVICE
1196	За информационные услуги по договору №236 от 20.12.2025г.	SERVICE
1197	По предвариельному договору №398 от 29 января 2028 за квартиру в ЖК по адресу г. Брянск, Трудовая ул., д. 15	SERVICE
1198	Оплата за консультирование в сфере информационных технологий по договору №Е01102/72 от 29.10.2025 г.	SERVICE
1199	За консультации юриста по договору №00368А от 13.05.2028г.	SERVICE
1200	Оплата по Договору №68-04476 от 17.04.2026г.за бухгалтерское сопровождение в счет задолженности	SERVICE
1201	Предоставление денежных средств по договору займа №В02130/73 от 11 июля 2024г. Без НДС	SERVICE
1202	Предоставление кредита по договору №Б04392/06 от 03.12.2025 (приобретение недвижимости)	SERVICE
1203	Оплата за 500 штук новогодних шоколадных подарков по счету 0298 от 16 февраля 2025 г. .Сумма 15000-00 В т.ч. НДС 20% 2500-00	SERVICE
1204	Оплата за ж/д, авиабилеты и проживание по счету 65658757456813691549 от 15.05.2027 г. на основании договора №В-02475/90 от 22.01.2025	SERVICE
1205	оплата по договору №70Г-00637 от 22.02.2025 за ЖКТМСумма 1320000-00В т.ч. НДС(20%) 220000-00	SERVICE
1206	За гостиницу (Россия, г. Нальчик)	SERVICE
1207	За информационные услуги по договору №04585Б от 17/02/2027	SERVICE
1208	оплата по счетам 0384, 0682,0323, 0305 за услугиСумма 14/12/2023В т.ч. НДС(20%) 17100.00	SERVICE
1209	Оплата обучения по договору №141 от 15.05.2028г	SERVICE
1210	Оплата дог №В-01318/80 от за 03/24г.согл.сч 0006 от 25.03.24г.,счет-фактура 0257 от 26.03.2024г.	SERVICE
1211	Оплата за консультирование в сфере информационных технологий по договору №Д-01299/93 от 10 мая 2026 г.	SERVICE
