description,mislead_category,predicted_category 
"Оплата по сч. 459 от 05/07/2026, за транспортные услуги НДС не облагается.",TAX,SERVICE
"Оплата за Зубная паста Colgate защита от кариеса свежая мята 100мл по счету 23884521823084434798 от 28/03/2026 Сумма 4260,00",TAX,NON_FOOD_GOODS
Счет на оплату № 0663 от 2025-03-13г.МКР для фильтрпресса. Сумма 27800.00В т.ч. НДС(20%) 4633.33,TAX,NON_FOOD_GOODS
"Оплата дог №01107Б от за 06/24г.согл.сч 0167 от 25.06.24г.,счет-фактура 0896 от 26.06.2024г.",TAX,NOT_CLASSIFIED
Оплата за Чай травяной Greenfield Wildberry Rooibus с кусочками земляники и клюквы 25х1.5г по счету 68970797659817561687 от 2024.04.15 Сумма 4470.00,TAX,FOOD_GOODS
оплата по договору №492 от 22/06/2023 за ЖКТМСумма 3620000-00В т.ч. НДС(20%) 603333-33,TAX,SERVICE
Оплата за Пакеты Liberhaus для замораживания и хранения пищевых продуктов с замком типа Zip-Lock 1.2 и 2.5л 20шт по счету 30037756059247301756 от 17.10.2025 г. Сумма 2080.00,TAX,NON_FOOD_GOODS
Оплата за Халва Азовская АФ Царская подсолнечная на фруктозе 180г по счету 78589388061430301936 от 08.10.2028 г. Сумма 1620-00,TAX,FOOD_GOODS
"Оплата по договору №А04474/45 от 27.12.2027, счету 0790 от 27.12.2027 за мясные деликатесы. Сумма 17700,00 В т.ч. НДС 20% 2950,0",TAX,FOOD_GOODS
Оплата за запасные части для оборудования по счету №0284 от 08/01/2024г.; Договор №9-00832/88 от 10 октября 2025г,TAX,NON_FOOD_GOODS
Оплата за Копченая рыба по счету 20914826885323061000 от 02.04.2028 г. Сумма 2710.00,TAX,FOOD_GOODS
"За транспортировку, перевозка по железной дороге из г. Северодвинск в г. Севастополь по договору №7-00604/39 от 2027.09.20",TAX,SERVICE
За досатвку водным транспортом из г. Дербент в г. Тюмень по договору №19В-04020 от 27 июля 2023г,TAX,SERVICE
За участие в конференции в г. Петрозаводск по договору №Д01835/73 от 08.12.2025 г.,TAX,SERVICE
За участие в конференции в г. Самара по договору №237 от 17.12.2026г,TAX,SERVICE
"Оплата за Губка для обуви Econta Двойной блеск бесцветная 25г по счету 30953884747323524241 от 15.02.2028 г. Сумма 3770,00",TAX,NON_FOOD_GOODS
оплата по договору №1-00809/12 от 21.01.2027 г. за ЖКТМСумма 2130000.00В т.ч. НДС(20%) 355000.0,TAX,SERVICE
"За транспортировку, перевозка по железной дороге из г. Сергиев Посад в г. Черкесск по договору №336 от 08.09.2027г",TAX,SERVICE
оплата по счёту № 0523 от 22 июня 2028 г. за транспортные услугиСумма 3930000-00В т.ч. НДС(20%) 655000-00,TAX,SERVICE
"Оплата за Кружка стеклянная 350мл по счету 90819319034953071309 от 06.11.2027г. Сумма 4040,00",TAX,NON_FOOD_GOODS
За аренду машины/автомобиля по договору №253 от 08.05.2023 г.,TAX,SERVICE
"Оплата за Крем чистящий Cif Актив Лимон универсальный для кухни и ванной 100% удаление грязи 500мл по счету 01364367113689805986 от 23 августа 2026 Сумма 3630,00",TAX,NON_FOOD_GOODS
Оплата за Полотенца бумажные Papia 3 слоя по счету 96753778226888943809 от 05.06.2026 Сумма 2020.00,TAX,NON_FOOD_GOODS
За бронирование отеля в г. Магнитогорск по договору №349 от 07.07.2023 г.,TAX,SERVICE
Оплата за Средство чистящее Бреф Сила-Актив Лимонная свежесть для унитаза 2х50г по счету 84145789639220834170 от 29 июля 2028г Сумма 3330-00,TAX,NON_FOOD_GOODS
"По предвариельному договору №60-01234Д от 27 сентября 2024 г. за квартиру в ЖК по адресу г. Прокопьевск, Восточная ул., д. 13",TAX,REAL_ESTATE
"Оплата за Набор кондитерских изделий M&M""s & Friends 117г по счету 70095675484261873075 от 13 сентября 2023 Сумма 4240.00",TAX,FOOD_GOODS
Оплата за Вафли Коровка Топленое молоко 300г по счету 35432691981294939017 от 05.05.2028 Сумма 1830-00,TAX,FOOD_GOODS
"Оплата за Яблоки Голден по счету 67019275570002512449 от 29.09.2025 Сумма 1470,00",TAX,FOOD_GOODS
"Оплата за нут,сафлор по счету 0858,0859,0860 от 16.12.2028г. .Сумма 3120000-00 В т.ч. НДС 20% 520000-00",TAX,FOOD_GOODS
"По предвариельному договору №07Б-01893 от 22.03.2025г за квартиру в ЖК по адресу г. Коломна, Социалистическая ул., д. 24",TAX,REAL_ESTATE
За оказание услуг по договору 71.193576-ДВ от 16.09.2027,TAX,SERVICE
Оплата за Порошок стиральный Ariel Color automat 3кг по счету 67262381212768150215 от 17.11.2024 Сумма 3040-00,TAX,NON_FOOD_GOODS
Собств. средства,TAX,NOT_CLASSIFIED
"Оплата за Пряник Ясная Поляна Тульский с начинкой вареная сгущенка 140г по счету 71426874951305303567 от 06/11/2025 Сумма 4780,00",TAX,FOOD_GOODS
Оплата за запасные части для оборудования по счету №0149 от 29.12.2024г.; Договор №7-04209/61 от 09.08.2025г.,TAX,NON_FOOD_GOODS
"Оплата за Салфетки Tolli Classic бумажные универсальные в ассортименте 100шт. по счету 93857019739172429506 от 31 августа 2026 г. Сумма 620,00",TAX,NON_FOOD_GOODS
"Обеспечительный платеж за виллу,договор 46.097595-ЕГ от 07.10.2025г.",TAX,REAL_ESTATE
Оплата за Гель для стирки Персил Power Gel Color 1.3л по счету 23341888979833151651 от 12.03.2027г Сумма 4940-00,TAX,NON_FOOD_GOODS
"оплата по счетам 0622, 0029,0297, 0552 за услугиСумма 20.07.2023гВ т.ч. НДС(20%) 4620000,00 (перевозка грузов)",TAX,SERVICE
оплата по счёту № 0661 от 17 марта 2023 г. за транспортные услугиСумма 880000.00В т.ч. НДС(20%) 146666.66,TAX,SERVICE
"Оплата за нут,сафлор по счету 0802,0803,0804 от 23 ноября 2028г .Сумма 1620000.00 В т.ч. НДС 20% 270000.0",TAX,FOOD_GOODS
"Оплата за Чай черный Richard Royal Berries Selection лесные ягоды 25х1.7г по счету 47422714858010932865 от 19.10.2027г Сумма 4980,00",TAX,FOOD_GOODS
Частичная оплата по счету № 0820 от 14 декабря 2028 г. за костюмы ФаворитСумма 44900.00В т.ч. НДС(20%) 7483.33,TAX,NON_FOOD_GOODS
За тур.поездку по договору №Д04949 от 08.04.2026г.,TAX,SERVICE
Перевод средств на собственный счет,TAX,NOT_CLASSIFIED
"Оплата за ж/д, авиабилеты и проживание по счету 41855135089755611671 от 11 января 2023 на основании договора №143 от 10.12.2025г",TAX,SERVICE
Оплата за Размещение рекламы по счету 68383106273109376393 от 2028-11-13; Договор 87.017606-АВ от 15.03.2028,TAX,SERVICE
НДС от Комиссия АКБ 'Первый банк' (АО) за выполнение функции агента валютного контроля за з/п № 225 от 25 марта 2024,TAX,BANK_SERVICE
"Оплата по счетам 0470,0471,0472 от 25.02.2026 (за бетон марки М300)Сумма 15200.00 В т.ч. НДС 20% 2533.33",TAX,NON_FOOD_GOODS
"оплата по счетам 0077, 0837,0158, 0505 за услугиСумма 16 марта 2025В т.ч. НДС(20%) 810000.00 (перевозка грузов)",TAX,SERVICE
Оплата за Соломка рыбная Флотская со вкусом стейка солено-сушеная 15г по счету 95695638482602287326 от 28.03.2027 г. Сумма 4150.00,TAX,FOOD_GOODS
"Оплата по счетам 0334,0335,0336 от 2024.05.22 (за бетон марки М300)Сумма 10500.00 В т.ч. НДС 20% 1750.0",TAX,NON_FOOD_GOODS
"Оплата по сч. 0636 от 13.02.2025 за абхазсие мандарины. Сумма 39700,00 В т.ч. НДС 20% - 6616,66",TAX,FOOD_GOODS
Оплата за Перец Индана душистый горошек 10г по счету 77347015200541460806 от 10 сентября 2024 г. Сумма 2750-00,TAX,FOOD_GOODS
Оплата по Договору №54А-01154 от 2026.01.08за бухгалтерское сопровождение в счет задолженности,TAX,SERVICE
Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №Д02055/23,TAX,SERVICE
"Оплата за Кондиционер для белья Е Fresh 1л по счету 77163754861274166053 от 16 октября 2023 Сумма 3590,00",TAX,NON_FOOD_GOODS
"Обеспечительный платеж за виллу,договор №35А-04928 от 18 апреля 2023 г.",TAX,REAL_ESTATE
"Оплата за ж/д, авиабилеты и проживание по счету 56929313045391146645 от 25 апреля 2023 г. на основании договора №В-02427/95 от 19.10.2026 г.",TAX,SERVICE
Оплата за Губка для обуви Econta черная 25г по счету 17944477561119145429 от 18 ноября 2024г Сумма 4210.00,TAX,NON_FOOD_GOODS
Оплата за Груши Конференция по счету 46046766677564583462 от 16 февраля 2027 Сумма 3750.00,TAX,FOOD_GOODS
"Оплата за Специи для напитков по счету 22754784497885644759 от 27/01/2024 Сумма 2560,00",TAX,FOOD_GOODS
"оплата по договору №Е-02692/73 от 11 января 2027 за ЖКТМСумма 2550000,00В т.ч. НДС(20%) 425000,0",TAX,SERVICE
Оплата за Мандарины по счету 62137851842367941490 от 31 января 2025г Сумма 1150.00,TAX,FOOD_GOODS
Оплата за игристое вино Asti по договору №88Б-01091 от 2026.04.28 .Сумма 4160000-00 В т.ч. НДС 20% 693333-33,TAX,FOOD_GOODS
Оплата за Напиток кофейный Nescafé 3в1 классик растворимый 14.5г по счету 19388810645061195164 от 13.04.2024г. Сумма 3590-00,TAX,FOOD_GOODS
"Оплата за Гречка Агро-Альянс Экстра элитная 900г по счету 53767180801134292283 от 2028.06.04 Сумма 2840,00",TAX,FOOD_GOODS
"Оплата за Крем-мыло Aura Pure Cotton Хлопок и мед 2в1 500мл по счету 91306102030105703235 от 06 июля 2027 Сумма 1040,00",TAX,NON_FOOD_GOODS
Перевод собственных средств на собственный счет,TAX,NOT_CLASSIFIED
Оплата за Какао-напиток Хрутка быстрорастворимый 250г по счету 05118775822559373272 от 13.09.2028 Сумма 1990.00,TAX,FOOD_GOODS
Оплата по счету 0946 от 12 октября 2026г за Red Bull. Сумма 33400.00 без учета НДС,TAX,FOOD_GOODS
"Оплата по дог.финансовой аренды №Г04606/54 от 05/08/2025г., акт приема-передачи 532 от 23.11.2024г.. В т.ч. НДС(20%) 640000-00",TAX,LEASING
Оплата за Отбеливатель Красная Цена Белизна жидкий 1л по счету 35421777640755669474 от 23.10.2025 г. Сумма 2570.00,TAX,NON_FOOD_GOODS
Оплата за Печень говяжья замороженная по счету 48159737770658306729 от 26.08.2024 г. Сумма 1880.00,TAX,FOOD_GOODS
Оплата за Стиральные порошки по счету 79646786812799898188 от 11/06/2023 Сумма 4700.00,TAX,NON_FOOD_GOODS
Оплата за Халва Красная цена Подсолнечная 250г по счету 56943190338006716370 от 24.05.2024г. Сумма 3220.00,TAX,FOOD_GOODS
Оплата за Размещение рекламы по счету 96661582291727928086 от 14.08.2026г.; Договор №412 от 31.01.2023,TAX,SERVICE
"Оплата за Карамель Chupa Chups Экзотик-тропик в ассортименте 12г по счету 84194409426598470041 от 23.05.2025 г. Сумма 1760,00",TAX,FOOD_GOODS
Оплата за Средство Чистин Аромат Сирени чистящее 400г по счету 38299234866749335407 от 01.09.2026 Сумма 1980-00,TAX,NON_FOOD_GOODS
Оплата по Счету 0213 от 16.11.2023 г. за банковские сборы Сумма 2280.00 Без налога (НДС),TAX,BANK_SERVICE
Оплата за Мешки для мусора Econta 20шт 60л по счету 76739699613606591196 от 12 декабря 2028 г. Сумма 4970-00,TAX,NON_FOOD_GOODS
"Оплата за Крем-мыло Duru Арбуз с экстрактом алоэ 80г по счету 41773465969354619438 от 07.11.2023 Сумма 2470,00",TAX,NON_FOOD_GOODS
"Оплата за Порошок чистящий Пемолюкс лимон 480г по счету 33665672702568709503 от 31 марта 2023г Сумма 4660,00",TAX,NON_FOOD_GOODS
Оплата по Договору №Г-00194/25 от 2024-01-19 за акт 0029 транспортные усулги Сумма 43200-00Без налога(НДС),TAX,SERVICE
Лечение по договору №72-02425 от 2023-03-05,TAX,SERVICE
оплата по счёту № 0377 от 12.09.2028г. за транспортные услугиСумма 1020000.00В т.ч. НДС(20%) 170000.0,TAX,SERVICE
"Оплата за игристое вино Asti по договору б/н от 31 августа 2023г .Сумма 3060000,00 В т.ч. НДС 20% 510000,0",TAX,FOOD_GOODS
Оплата за Светодиодная лампа Старт E27 20W теплый свет по счету 20409983986449177012 от 20.05.2025г. Сумма 2570.00,TAX,NON_FOOD_GOODS
"Оплата за Кондиционер для белья Е Делюкс 1.7л по счету 06689652141371151474 от 16.10.2028 Сумма 750,00",TAX,NON_FOOD_GOODS
Оплата по Договору №Е-04088/64 от 25.09.2028 г. за акт 0442 транспортные услуги Сумма 24100-00Без налога(НДС),TAX,SERVICE
За аренду машины/автомобиля по договору №04693Г от 02.03.2027,TAX,SERVICE
Оплата за Конфеты Milla Vanilla с кокосовой стружкой 150г по счету 64577092311173168026 от 07.03.2028г. Сумма 750.00,TAX,FOOD_GOODS
Оплата по Договору №04021Б от 20.03.2028 за акты 0823 и 0877 (транспортные услуги)Сумма 17700.00В т.ч. НДС(20%) 2950.0,TAX,SERVICE
Оплата за Средство для мытья посуды Fairy Нежные руки чайное дерево и мята 450мл по счету 59238294319126019301 от 26 июля 2023 Сумма 1540-00,TAX,NON_FOOD_GOODS
"Оплата по счету 0332 от 2024-11-13 за Red Bull. Сумма 32700,00 без учета НДС",TAX,FOOD_GOODS
Оплата за 500 штук новогодних шоколадных подарков по счету 0603 от 14.09.2028г .Сумма 33600-00 В т.ч. НДС 20% 5600-00,TAX,FOOD_GOODS
"Оплата за Средство для мытья посуды Fairy Нежные руки ромашка и витамин Е 900мл по счету 36739774838108339871 от 12/11/2028г. Сумма 4510,00",TAX,NON_FOOD_GOODS
За информационные услуги по договору №Г04542/54 от 26 октября 2024 г.,TAX,SERVICE
"Оплата за Чай Tess Pleasure черный с шиповником и яблоком в пакетиках 25х1.5г по счету 44690776770948866173 от 13.01.2025г. Сумма 1020,00",TAX,FOOD_GOODS
"Оплата по дог.финансовой аренды №Д00325 от 20.12.2024, акт приема-передачи 639 от 10/12/2024. В т.ч. НДС(20%) 361666-66",TAX,LEASING
НДС от Комиссия АКБ 'Первый банк' (АО) за выполнение функции агента валютного контроля за з/п № 345 от 22.12.2024,TAX,BANK_SERVICE
Оплата за Масло Altero подсолнечное с добавлением оливкового 810мл по счету 73529268654702417330 от 23.05.2024 Сумма 2150.00,TAX,FOOD_GOODS
Оплата по Договору №77-02161Е от 22/01/2023за бухгалтерское сопровождение в счет задолженности,TAX,SERVICE
"Оплата по счетам 0130,0131,0132 от 13.04.2028 (за бетон марки М300)Сумма 47100.00 В т.ч. НДС 20% 7850.0",TAX,NON_FOOD_GOODS
Оплата за Батарейки по счету 78124416417068094575 от 06.11.2027 г. Сумма 1000-00,TAX,NON_FOOD_GOODS
Оплата за Чернослив Красная Цена 100 г по счету 13968680545535649614 от 23.01.2027 г. Сумма 4740.00,TAX,FOOD_GOODS
Оплата за Вафли и вафельные торты по счету 87551001388635164700 от 27 сентября 2027 Сумма 1640.00,TAX,FOOD_GOODS
Оплата за Семечки От Мартина отборные жареные 100г по счету 61066442367366204258 от 13/02/2027г. Сумма 620-00,TAX,FOOD_GOODS
Оплата по договору 91.275208-ВЕ от 19.02.2025 г. частичная оплата за картонСумма 41500.00В тч НДС(20%) 6916.66,TAX,NON_FOOD_GOODS
"По предвариельному договору №Б03411/33 от 27.09.2024 за квартиру в ЖК по адресу г. Бердск, Ленина ул., д. 20",TAX,REAL_ESTATE
Оплата за Размещение рекламы по счету 95782715450130437554 от 03.01.2025; Договор №Б-02648/54 от 28.11.2027г,TAX,SERVICE
"Оплата по договору №В-03218/75 от 12 августа 2023, счету 0043 от 12 августа 2023 за 'Дымовские колбасы'.Сумма 1380000-00 В т.ч. НДС 20% 230000-00",TAX,FOOD_GOODS
"Оплата за Какао-напиток Хрутка быстрорастворимый 250г по счету 00957638446925644447 от 12 июля 2028г Сумма 4100,00",TAX,FOOD_GOODS
Оплата за Яйцо шоколадное Kids Box Десерт с подарком в ассортименте 20г по счету 78885277555361153039 от 30.06.2025 г. Сумма 1750-00,TAX,FOOD_GOODS
"оплата по счетам 0277, 0959,0765, 0617 за услугиСумма 10 декабря 2028гВ т.ч. НДС(20%) 2680000-00 (перевозка грузов)",TAX,SERVICE
Оплата за Груши Конференция по счету 78960903534596653336 от 27 апреля 2028 Сумма 2310-00,TAX,FOOD_GOODS
Оплата за Столовый и бальзамический уксус по счету 45247813367075618682 от 27.04.2026 г. Сумма 3090-00,TAX,FOOD_GOODS
Оплата за Набор подарочный Lava Lava Новогодний 110г по счету 69682396024923466741 от 26.10.2028г Сумма 1840-00,TAX,NON_FOOD_GOODS
"Оплата за Антистатик Лира 200мл по счету 92331853585056079430 от 23 декабря 2027г Сумма 4610,00",TAX,NON_FOOD_GOODS
"Оплата по договору №В-00525/83 от 10.02.2025 г., счету 0214 от 10.02.2025 г. за 'Дымовские колбасы'.Сумма 3730000.00 В т.ч. НДС 20% 621666.66",TAX,FOOD_GOODS
Оплата за программирование блока фары Mercedes VIN A007642266. Работы выполнялись по з/н №45-03432,TAX,SERVICE
НДС от Комиссия АКБ 'Первый банк' (АО) за выполнение функции агента валютного контроля за з/п № 201 от 04 марта 2024г,TAX,BANK_SERVICE
"Оплата за Гель для стирки Персил Power Gel Color 1.3л по счету 26306534408123561996 от 07.09.2028г. Сумма 4870,00",TAX,NON_FOOD_GOODS
Оплата за Лампа накаливания Старт Б Е27 95Вт теплый свет по счету 17284850261135155205 от 27/01/2024г. Сумма 4690-00,TAX,NON_FOOD_GOODS
Оплата за Аксессуары для стирки по счету 75832906731755052502 от 24/02/2026 Сумма 4830-00,TAX,NON_FOOD_GOODS
"ПРЕДОПЛАТА ПО ДОГ. №Г01230 за Раствор водный натриевых солей (поли)акриловой кислотыСумма 1870000,00 в т.ч.НДС  311666,66",TAX,NON_FOOD_GOODS
Оплата за Отбеливатели и пятновыводители по счету 52799179260871804526 от 28 января 2027 Сумма 2960-00,TAX,NON_FOOD_GOODS
"Оплата по договору №9-03771/92 от 10 июня 2025 г. частичная оплата за картонСумма 35800,00В тч НДС(20%) 5966,66",TAX,NON_FOOD_GOODS
"Оплата по дог.финансовой аренды №А03267 от 12.12.2024г., акт приема-передачи 637 от 15 апреля 2024г. В т.ч. НДС(20%) 210000-00",TAX,LEASING
"Оплата по счету 0028,0029,0030 от 26/06/2024г. (в рамках договора финансовой аренды №Е03012 от 08/11/2024). В т.ч. НДС(20%) 151666-66",TAX,LEASING
"Оплата за Лапша Доширак Квисти быстрого приготовления со вкусом курицы 70г по счету 00063569495185338112 от 08 сентября 2026 Сумма 3040,00",TAX,FOOD_GOODS
"оплата по счетам 0201, 0170,0018, 0500 за услугиСумма 15.03.2024г.В т.ч. НДС(20%) 21700-00",TAX,SERVICE
За бронирование отеля в г. Ногинск по договору №00647Г от 15 мая 2023,TAX,SERVICE
"Оплата по счету 0144,0145,0146 от 05.08.2024 (в рамках договора финансовой аренды №Д04780/30 от 31 августа 2024). В т.ч. НДС(20%) 165000-00",TAX,LEASING
"Оплата за Салфетки Pupi влажные для интимной гигиены 15шт по счету 54294038942901411230 от 16.02.2023г. Сумма 4920,00",TAX,NON_FOOD_GOODS
За консультации юриста по договору №19-03410 от 06.03.2024,TAX,SERVICE
За аренду машины/автомобиля по договору №Б-04181/29 от 06 января 2028 г.,TAX,SERVICE
"Обеспечительный платеж за виллу,договор №01-00760А от 02 мая 2027 г.",TAX,REAL_ESTATE
Оплата за Крем-мыло Grass Milana Fruit Bubbles жидкое увлажняющее 1000мл по счету 74874475147921782342 от 12.04.2025г Сумма 2860-00,TAX,NON_FOOD_GOODS
Оплата по Договору №Е02329/41 от 13.02.2027г за акт 0252 транспортные услуги Сумма 5200.00Без налога(НДС),TAX,SERVICE
"Оплата по сч. 881 от 24/03/2023г., за транспортные услуги НДС не облагается.",TAX,SERVICE
Оплата за Кофе молотый Venetto Raffinato жареный в капсулах 10х5г по счету 92382049891520068226 от 19.09.2028 Сумма 2780.00,TAX,FOOD_GOODS
"По предвариельному договору №245 от 16.02.2026г. за квартиру в ЖК по адресу г. Новый Уренгой, Садовый пер., д. 11",SERVICE,REAL_ESTATE
Оплата за Голень цыпленка Петелинка охлажденная по счету 07161548099672868627 от 04 ноября 2024г Сумма 4880-00,SERVICE,FOOD_GOODS
Оплата за Козинаки AgroSputnik Богучарские 250г по счету 78269594179794138926 от 21.08.2023г Сумма 860.00,SERVICE,FOOD_GOODS
Оплата за Макароны Barilla Джирандоле n.34 450г по счету 32449592636943017525 от 05 августа 2027 Сумма 790-00,SERVICE,FOOD_GOODS
Оплата процентов за период с 21 октбяря 2026 г. по 2027.05.20 по Договору б/н от 09.05.2027,SERVICE,LOAN
"Оплата за Средство чистящее Бреф Сила-Актив для унитаза 3х50г по счету 45727760278110904977 от 2023.09.01 Сумма 3750,00",SERVICE,NON_FOOD_GOODS
"Оплата за кофе в зернах по счету 62615713683597077535 от 17.04.2024г. Сумма 3270,00 в т.ч. НДС 20% 545,0",SERVICE,FOOD_GOODS
"Оплата по счету 0887,0888,0889 от 22.12.2024г (в рамках договора финансовой аренды №42-00554 от 27.04.2023). В т.ч. НДС(20%) 191666-66",SERVICE,LEASING
Оплата по сч. 0254 от 12/11/2023г. за абхазсие мандарины. Сумма 9800-00 В т.ч. НДС 20% - 1633-33,SERVICE,FOOD_GOODS
Оплата за Цикорий Большая чашка черничный растворимый 85г по счету 40812884458189162453 от 22.10.2024 г. Сумма 2570-00,SERVICE,FOOD_GOODS
Оплата по сч. 0045 от 12.09.2026 за абхазсие мандарины. Сумма 20500-00 В т.ч. НДС 20% - 3416-66,SERVICE,FOOD_GOODS
Оплата за Подсолнечное масло по счету 49062570303094657324 от 29/07/2026г. Сумма 3900-00,SERVICE,FOOD_GOODS
Оплата за Жироудалитель Liberhaus 500мл по счету 67076340598104594585 от 24 августа 2023 Сумма 1270.00,SERVICE,NON_FOOD_GOODS
Оплата за Кондиционер для белья Вернель Свежий бриз концентрированный 910мл по счету 33676421043245603886 от 22.10.2025 Сумма 2750-00,SERVICE,NON_FOOD_GOODS
Оплата по сч. 0977 от 04/08/2024г. за абхазсие мандарины. Сумма 26600.00 В т.ч. НДС 20% - 4433.33,SERVICE,FOOD_GOODS
Оплата за Гель для стирки Ласка Эффект восстановления черного 1л по счету 93182588911733211639 от 24.09.2023г Сумма 2800.00,SERVICE,NON_FOOD_GOODS
Оплата за Кислота Красная Цена уксусная пищевая 70% 180мл по счету 48656156530653981228 от 07 февраля 2028г Сумма 4120-00,SERVICE,FOOD_GOODS
"По предвариельному договору №7-03085/63 от 26 ноября 2024 за квартиру в ЖК по адресу г. Южно-Сахалинск, Парковая ул., д. 16",SERVICE,REAL_ESTATE
оплата по договору №01441Е от 28.01.2025г за ЖКТМСумма 2590000.00В т.ч. НДС(20%) 431666.66,SERVICE,REAL_ESTATE
За аренду машины/автомобиля по договору №Г03609/08 от 13/10/2028,SERVICE,LEASING
За аренду машины/автомобиля по договору №5-01009/23 от 05 июня 2023 г.,SERVICE,LEASING
"Оплата за Спички Пыл да жар хозяйственные 700шт. по счету 94095743236570243855 от 04.11.2026г. Сумма 2610,00",SERVICE,NON_FOOD_GOODS
Оплата за Гель для душа Camay Магическое заклинание 400мл по счету 41062503498962159382 от 13.04.2027 Сумма 3620.00,SERVICE,NON_FOOD_GOODS
"Частичная оплата по счету № 0867 от 04.10.2026 за костюмы ФаворитСумма 34500,00В т.ч. НДС(20%) 5750,0",SERVICE,NON_FOOD_GOODS
"Оплата за нут,сафлор по счету 0218,0219,0220 от 2023.07.08 .Сумма 4580000.00 В т.ч. НДС 20% 763333.33",SERVICE,FOOD_GOODS
Оплата за Мыло хозяйственное по счету 21635789269737471267 от 24.04.2028г. Сумма 2960-00,SERVICE,NON_FOOD_GOODS
Оплата за Форма Liberhaus для запекания круглая 7779588 в ассортименте по счету 28761412492211113507 от 24.06.2023г. Сумма 530-00,SERVICE,NON_FOOD_GOODS
Оплата за Туалетная бумага Красная цена с тиснением и перфорацией 3 слоя 8шт по счету 24840617734598756397 от 07.01.2028г Сумма 3830-00,SERVICE,NON_FOOD_GOODS
"Оплата за Чай ассорти по счету 74553158591362503928 от 02/12/2028г. Сумма 3250,00",SERVICE,FOOD_GOODS
"По предвариельному договору №01693Д от 01.10.2027 за квартиру в ЖК по адресу г. Октябрьский, Комсомольская ул., д. 15",SERVICE,REAL_ESTATE
"Оплата за Губки для мытья посуды Econta Maxi 5шт по счету 29109917533239187213 от 30.04.2023г. Сумма 1730,00",SERVICE,NON_FOOD_GOODS
Оплата по сч. 0174 от 24.10.2028 г. за абхазсие мандарины. Сумма 19200.00 В т.ч. НДС 20% - 3200.0,SERVICE,FOOD_GOODS
"Оплата за Чай Бабушкино лукошко детский травяной Ромашка 20x1г по счету 07956311984625541247 от 25/08/2025 Сумма 1790,00",SERVICE,FOOD_GOODS
"Оплата по договору №Е01889 от 02.10.2025г, счету 0483 от 02.10.2025г за мясные деликатесы. Сумма 14800-00 В т.ч. НДС 20% 2466-66",SERVICE,FOOD_GOODS
Оплата за Средство для стирки Лоск Color 1.3л по счету 83562333373510829730 от 13.06.2024г. Сумма 1620.00,SERVICE,NON_FOOD_GOODS
Оплата по договору №91-01308Г от 30.04.2023г. сырье для пвадСумма 4550000-00В т.ч. НДС(20%) 758333-33,SERVICE,NON_FOOD_GOODS
"Счет на оплату № 0202 от 15.04.2028г.МКР для фильтрпресса. Сумма 17700,00В т.ч. НДС(20%) 2950,0",SERVICE,NON_FOOD_GOODS
"Оплата по счетам 0647,0648,0649 от 27 июля 2023г (за бетон марки М300)Сумма 10700,00 В т.ч. НДС 20% 1783,33",SERVICE,NON_FOOD_GOODS
"Оплата за Набор Seasons карнавальный с крыльями в ассортименте по счету 11703942736479102377 от 04/07/2027 Сумма 3760,00",SERVICE,NON_FOOD_GOODS
"Оплата за Скумбрия Fish House холодного копчения 300г по счету 14327803112416660573 от 28 ноября 2028 г. Сумма 3210,00",SERVICE,FOOD_GOODS
"Оплата по счету 0514,0515,0516 от 04/01/2024г. (в рамках договора финансовой аренды №463 от 04.04.2023г.). В т.ч. НДС(20%) 506666.66",SERVICE,LEASING
Оплата за Зелёный чай по счету 25097179844903002369 от 01 января 2026 Сумма 3030.00,SERVICE,FOOD_GOODS
Оплата за Зубная паста Aquafresh Total Care 3 освежающая мята 100мл по счету 16046277894671438730 от 19/05/2027 Сумма 1890.00,SERVICE,NON_FOOD_GOODS
Оплата за Паштет Мясная Ферма печеночный со вкусом гусиного мяса 200г по счету 39602404333928991481 от 26 июня 2027г Сумма 570-00,SERVICE,FOOD_GOODS
Оплата за Лампа светодиодная Старт E27 10W теплый свет по счету 82320632679069099247 от 05.10.2025г. Сумма 1170-00,SERVICE,NON_FOOD_GOODS
"Оплата по счету 0013,0014,0015 от 27.06.2024 г. (в рамках договора финансовой аренды №1-01047/66 от 2024.02.24). В т.ч. НДС(20%) 350000,0",SERVICE,LEASING
"Оплата за 500 штук новогодних шоколадных подарков по счету 0470 от 22/07/2026г. .Сумма 41400,00 В т.ч. НДС 20% 6900,0",SERVICE,FOOD_GOODS
Оплата за Палочки ватные Pupi 200шт по счету 76802961611167736035 от 11.09.2026 г. Сумма 1280.00,SERVICE,NON_FOOD_GOODS
"Оплата за Мойва Fish house Холодного копчения неразделанная 200г по счету 33320490869652289715 от 05.10.2023г. Сумма 2480,00",SERVICE,FOOD_GOODS
"Оплата за нут,сафлор по счету 0249,0250,0251 от 10 июля 2025 .Сумма 2730000-00 В т.ч. НДС 20% 455000-00",SERVICE,FOOD_GOODS
"Оплата за Сумка Пятерочка хозяйственная из полиэстера по счету 09345722839475054370 от 2028.12.30 Сумма 690,00",SERVICE,NON_FOOD_GOODS
"Оплата за Рукав для запекания Econta, 3м по счету 03940177978895551231 от 06.04.2024г Сумма 3220-00",SERVICE,NON_FOOD_GOODS
